date,city_slug,city_name,landing_url,new_offers_url,students_url,rooms_url,active_offers,median_price,avg_price_per_m2,avg_price,cheapest_district,expensive_district,top_source,top_price_range,new_offers_last_day,new_offers_last_7d
2026-08-25,bialystok,Białystok,https://znajdznajem.pl/bialystok,https://znajdznajem.pl/bialystok/nowe-oferty,https://znajdznajem.pl/bialystok/dla-studentow,https://znajdznajem.pl/bialystok/pokoje,2351,1800,49,1811,Piasta,Przydworcowe,olx,1 500-1 999 zł,27,299
2026-08-25,bydgoszcz,Bydgoszcz,https://znajdznajem.pl/bydgoszcz,https://znajdznajem.pl/bydgoszcz/nowe-oferty,https://znajdznajem.pl/bydgoszcz/dla-studentow,https://znajdznajem.pl/bydgoszcz/pokoje,2782,1950,54,1986,Miedzyń,Górzyskowo,olx,1 500-1 999 zł,59,334
2026-08-25,czestochowa,Częstochowa,https://znajdznajem.pl/czestochowa,https://znajdznajem.pl/czestochowa/nowe-oferty,https://znajdznajem.pl/czestochowa/dla-studentow,https://znajdznajem.pl/czestochowa/pokoje,1110,1600,42,1785,—,—,olx,1 500-1 999 zł,15,111
2026-08-25,gdansk,Gdańsk,https://znajdznajem.pl/gdansk,https://znajdznajem.pl/gdansk/nowe-oferty,https://znajdznajem.pl/gdansk/dla-studentow,https://znajdznajem.pl/gdansk/pokoje,7513,2700,72,2810,Suchanino,Letnica,olx,2 500-2 999 zł,115,1167
2026-08-25,gdynia,Gdynia,https://znajdznajem.pl/gdynia,https://znajdznajem.pl/gdynia/nowe-oferty,https://znajdznajem.pl/gdynia/dla-studentow,https://znajdznajem.pl/gdynia/pokoje,2088,2500,67,2729,Leszczynki,Orłowo,olx,2 500-2 999 zł,34,305
2026-08-25,gliwice,Gliwice,https://znajdznajem.pl/gliwice,https://znajdznajem.pl/gliwice/nowe-oferty,https://znajdznajem.pl/gliwice/dla-studentow,https://znajdznajem.pl/gliwice/pokoje,1305,1850,51,1969,—,—,olx,1 500-1 999 zł,12,136
2026-08-25,katowice,Katowice,https://znajdznajem.pl/katowice,https://znajdznajem.pl/katowice/nowe-oferty,https://znajdznajem.pl/katowice/dla-studentow,https://znajdznajem.pl/katowice/pokoje,4817,1900,55,2062,Załęże,Brynów-Osiedle Zgrzebnioka,olx,1 500-1 999 zł,62,528
2026-08-25,kielce,Kielce,https://znajdznajem.pl/kielce,https://znajdznajem.pl/kielce/nowe-oferty,https://znajdznajem.pl/kielce/dla-studentow,https://znajdznajem.pl/kielce/pokoje,1497,1700,48,1783,—,—,olx,1 500-1 999 zł,8,167
2026-08-25,krakow,Kraków,https://znajdznajem.pl/krakow,https://znajdznajem.pl/krakow/nowe-oferty,https://znajdznajem.pl/krakow/dla-studentow,https://znajdznajem.pl/krakow/pokoje,19427,2600,70,2712,Nowa Huta,Zwierzyniec,olx,2 500-2 999 zł,369,2899
2026-08-25,lodz,Łódź,https://znajdznajem.pl/lodz,https://znajdznajem.pl/lodz/nowe-oferty,https://znajdznajem.pl/lodz/dla-studentow,https://znajdznajem.pl/lodz/pokoje,7029,1850,55,1994,Teofilów,Olechów,olx,1 500-1 999 zł,108,883
